slug,auto_class,manual_class,rationale,finding,evidence_quote,qlen,window_frac,variant_match,ocr_applied,file_ext,k,src_context
2016__kjell_konis,unsupported,content_present_stitched,table values verbatim in source; quote adds sfm/tfm labels + stitches rows,Three-factor models reduce residual volatility for most assets compared to single-factor models.,Residual Volatilities: sfm: 0.01695 0.01863 tfm: 0.01510 0.01506,64,0,FALSE,FALSE,pdf,4,""
2014__bob_mcdonald,partial,content_present_stitched,two verbatim fragments joined with ellipsis,R enables visualizing early exercise decisions in American options.,An R plot can be used to show simultaneously... whether the option is exercised at a given node,95,0.33,FALSE,FALSE,pdf,2,"(the holder of an unexercised call forgoes dividends) i interest leads to delay of exercise (defer payment of the strike price) i volatility leads to delay of exercise (with higher volatility, greater chance of later regret for having exercised) page 9 --- page break --- illustrating early exercise an r plot can be used to show simultaneously i the possible values of future stock prices i the probability of each price i whether the option is exercised at a given node (green means exercise, red means not) page 10 --- page break --- illustrating early exercise: example s = 100, k = 95, σ = 0.3, r = 0.08, δ = 0.08, t = 1, n = 20: 400 ● "
2018__dirk_eddelbuettel,unsupported,content_present_stitched,benchmark table rows verbatim; quote elides middle columns with ellipsis,RcppMLPACK's K-means implementation outperformed base R's kmeans by ~33.8x,"mlKmeans(t(wine), 3) 100 0.028 1.000 ... kmeans(wine, 3) 100 0.947 33.821",73,0,FALSE,TRUE,pdf,3,""
2011__iacus,short_quote,short_or_empty_quote,evidence_quote empty (auto-fail by design),Markov Operator distance (MO) outperforms traditional distance measures for clustering financial time series.,"",0,0,FALSE,TRUE,pdf,1,statistical data analysis of financial time series and option pricing in r s.m. iacus 2011 s.m. iacus 2011 r in finance - 1 / 113 --- page break --- explorative data analysis nyse data estimation of financial models likelihood approach two stage least squares estimation model selection numerical evidence application to real data the change
2013__ronald_hochreiter,partial,content_present_stitched,two verbatim fragments stitched; package-name list lightly reworded,modopt provides a lightweight R framework for portfolio optimization.,"Light-weight: Just a handful of functions... design is influenced by AMPL, ZIMPL, CVX, YalMip.",94,0.17,FALSE,TRUE,pdf,2," (and only these) ingredients within r. --- page break --- optimization modeling in r (modopt) model() x1 <- 0; x2 <- 0 variable(x1, lb=0) variable(x2, lb=0) maximize(""""2*x1 + x2"""") subject_to(""""x1+x2 <= 5"""") subject_to(""""x1 <= 3"""") optimization() --- page break --- optimization modeling in r with modopt light-weight: just a handful of functions to add objective function(s), constraints, parameters, to initialize (optimization) variables, and to define (optimization variable) sets. model() to create a new optimization model. optimization() to execute the current model. the design of the package is heavily influenced by the standalone optim"
2019__majeed_simaan,unsupported,content_present_stitched,results-table numbers verbatim; quote reformats into prose,ML-based tactical allocation outperforms 60-40 benchmark with higher Sharpe/Sortino ratios,Sortino 1.35 (a=95%) vs Benchmark 0.92; Sharpe 0.99 (a=95%) vs Benchmark 0.73,77,0,FALSE,FALSE,pdf,1,""
2013__matthew_dowle_2,unsupported,content_present_stitched,both timing figures verbatim; quote reorders + stitches,fread reads CSV files 10x faster than read.csv,"fread(""""test.csv"""") # 3s vs read.csv(""""test.csv"""") # 30-60s",55,0,FALSE,TRUE,pdf,3,""
2015__guy_yollin,unsupported,content_present_artifact,content verbatim; quote contains literal backslash-n escape sequences that defeat whitespace normalization,Rserve and factorAnalytics packages facilitate risk contribution calculations,Rserve\nfactorAnalytics\nPackage\nRisk Contribution\nPerformance Attribution,76,0,FALSE,TRUE,pptx,4,""
2015__majeed_simaan,unsupported,content_present_artifact,table row verbatim; literal backslash-n escape sequences defeat normalization,Performance improvements increase with more assets,10 Assets\n0.23 0.19 0.23 0.19\n0.87 0.90 1.11 0.97,51,0,FALSE,TRUE,pdf,4,""
2022__thomas_harte,short_quote,short_or_empty_quote,"16 chars, auto-fail; text IS verbatim in source",MVC pattern separates CLI parsing logic from execution,Observation: MVC,16,1,FALSE,FALSE,html,3," 'callback': spark_stop_cluster, }, } python: pure data cmd spark stop cluster --instance=instance-2 --verbose view = { 'spark|stop|cluster': { 'callback': spark_stop_cluster, '--instance': { 'help': 'spark cluster instance', 'default': 'instance-1', 'choices': ['instance-1', 'instance-2'], }, }, } observation: mvc model-view-controller wikipedia python: view (pure data) cmd spark start cluster --instance=instance-2 --verbose cmd spark stop cluster --instance=instance-2 --verbose view = { 'spark|start|cluster': { 'callback': spark_start_cluster, '--instance': { 'help': 'spark cluster instance', 'default': 'instance-1', 'choices': ['i"
2017__thomas_harte,partial,content_present_stitched,both fragments verbatim on consecutive build-up slides; stitched,Current PE modeling relies on primitive methods like DCF and roll-your-own spreadsheets without fee integration.,GPs: originators use DCF models and report a modeled NAV... does not account for fees,85,0.4,FALSE,TRUE,pdf,1,ve') cepres cambridge associates preqin: we're currently working with preqin on aspects of their data 11 / 53 --- page break --- what is the state of the art in pe modeling? besides the pe package …? 12/53 --- page break --- what is the state of the art in pe modeling? • besides the pe package …? • gps: originators use dcf models and report a modeled nav 12/53 --- page break --- what is the state of the art in pe modeling? • besides the pe package … ? • gps: originators use dcf models and report a modeled nav • lps: mainly roll-your-own models on a spreadsheet 12/53 --- page break --- what is the state of the art in pe modeling? • be
2018__jj_lay,unsupported,not_in_extracted_text,error-table values not present in extracted text (likely table image or past truncation),MLMC achieves high accuracy in European put pricing with errors below 0.05%,Error % 0.05% 0.00% 0.02% 0.02% 0.00% 0.01%,43,0,FALSE,TRUE,pdf,1,""
2018__samuel_borms,unsupported,content_present_stitched,table verbatim modulo one transcribed year (2028 vs source 2001); stitched,The model predicts the EPU index with perfect in-sample fit but requires out-of-sample validation.,Date | Realized | Prediction | ... 01-2000 | 100 | 100 | ... 01-2028 | 150 | 150 |,82,0,FALSE,TRUE,pdf,4,""
2019__norm_matloff,unsupported,not_in_extracted_text,two-column layout scrambles source text; quoted numbers not locatable in text layer,Time series adaptation (towerTS) achieved 1.37 MAPE vs 1.51 for na.ma on NH4 data.,"Mean Absolute Prediction Error: na.ma ... 1.51, towerTS ... 1.37",64,0,FALSE,FALSE,pdf,4,""
2019__m_weylandt_and_l_damiano,partial,content_present_stitched,verbatim sentence; quote elides the parameter list with ellipsis,Posterior predictive checks showed 89-97% coverage of true parameters in validation,"95% posterior intervals ... contain the true value in the 89, 97, 93 percent of samples",87,0.4,FALSE,TRUE,pdf,4,"rue = params, estimates = extract(fit, pars = c(""""alpha0"""", """"alpha1"""", """"beta1"""")) ) }) --- page break --- alpha0 alpha1 beta1 40 --- page break --- alpha0 alpha1 beta1 41 --- page break --- software validation - step iv other diagnostics: · the 95% posterior intervals for the parameters α0, α1, and β contain the true value in the 89, 97, 93 percent of samples respectively. · all values for the estimated parameters are within the restricted parameter space. · mcmc chains mix well. (see, for example bayesplot) 42 --- page break --- model diagnostics after constructing a probability model and computing the posterior distribution, we assess "
2023__jason_cho,partial,content_present_stitched,sentence verbatim; quote elides middle with ellipsis,95% confidence intervals show BAYC sales occur every 30 days vs 7-8 days for other collections.,"On average, NFTs were sold within 7 to 8 days... 30 days for the Bored Ape Yacht Club.",86,0.2,FALSE,TRUE,pdf,3," 7.12 25.48 root mean squared error (rmse) on the held-out test data set. --- page break --- uncertainty quantification bored ape yacht club coverage:94% moonbirds coverage:92.5% --- page break --- uncertainty quantification clonex coverage:85% doodles coverage:69.5% --- page break --- conclusion ● on average, nfts were sold within 7 to 8 days after its previous sales with 95% confidence for moonbirds, clonex, and doodles, and 30 days for the bored ape yacht club. ● nfts are bought and sold in cryptocurrency: o daily 95% var of ethereum is ~ -7.47% --- page break --- further research ● modeling illiquidity premium ● other significant"
2012__rush,unsupported,content_present_stitched,both statistics verbatim; quote reorders them,Return spread differential explained 11.63% annualized returns.,Expected Annual Return 11.63% with 80.22% probability of positive annual return,79,0,FALSE,TRUE,pdf,3,""
2019__mido_shammaa,unsupported,not_in_extracted_text,unicode math formula content; not present in extracted text,D&M 2017 model standardizes returns and exposures to unit variance,"rit  rit /  rit... 𝑟𝑖,𝑡 ~ 𝑁(0,1)",34,0,FALSE,FALSE,pdf,2,""
2013__ronald_hochreiter,near_miss,content_present_stitched,two verbatim bullet fragments stitched with ellipsis,Academic optimization models are often too rigid for real-world applications.,PhD students are forced to do the implementation. If a deadline is missed: you send the project to the next conference...,121,0.56,FALSE,TRUE,pdf,1," - academic optimization ► everything is done for one (or two) research paper(s). ► focus on one specific solution method or one specific solver. ► the model is created in a solver-readable matrix format. ► data and model is mixed (messed) up. ► need mathematical proofs to impress non-scientists. ► phd students are forced to do the implementation. ► if a deadline is missed: you send the project to the next conference or special issue of a journal. --- page break --- optimization modeling gap - real-world ► no one cares about how it is solved, i.e. ► dirty heuristics are ok, no proofs necessary. ► data and model should be separated. ►"
2019__yingyi_gu,unsupported,content_present_stitched,phrase verbatim; model appended '(Slide 15)' locator breaking the match,MPCA captures delta-maturity and delta-strike dimensions separately in volatility surfaces.,First 2*2 eigen-surfaces from MPCA (Slide 15),45,0,FALSE,FALSE,pdf,3,""
2023__cyril_de_lavergne,unsupported,content_present_stitched,mini-table values verbatim in interleaved two-column text; reformatted,TFT shows best performance for short-term forecasts (δt=1) with MSE=0.001.,"δt    MSE      Accuracy
1     0.001      80.67",29,0,FALSE,FALSE,pdf,4,""
2025__jason_foster,partial,content_present_stitched,list items verbatim; two-column interleave separates header from items,"Supports equities, mutual funds, ETFs, indices, and futures",Coverage across security types: ■ Equities ■ Mutual funds ■ ETFs ■ Indices ■ Futures,84,0.2,FALSE,TRUE,pdf,2,"rovides simple and efficient access to yahoo finance's screener functionality for querying and retrieval of financial data: abstracts api complexities: coverage across security types: ■ session management ■ crumb and cookie handling ■ query construction ■ pagnation ■ json payload generation ■ equities ■ mutual funds ■ etfs ■ indices ■ futures available in both r and python! jason foster package 'yfscreen' 3 / 14 --- page break --- installation in r ■ install the released version from cran: install.packages(""""yfscreen"""") ■ or the development version from github: # install.packages(""""devtools"""") devtools::install_github(""""jasonjfoster/scree"
2023__jason_cho,unsupported,content_present_stitched,RMSE values verbatim in results table; quote selects one column + stitches,ACD model achieved 7.12 RMSE for Doodles vs 13.58 for naive baseline.,ACD 7.12... Simple Average 10.86... RMSE on the held-out test data set.,71,0,FALSE,TRUE,pdf,2,""
2022__kyle_balkissoon,unsupported,content_present_stitched,sentence verbatim; quote elides middle with ellipsis,Bottom quartile of sentiment predictions had 64.3% negative outcomes vs 52.4% overall,64.3% in the bottom quartile... vs 52.4% in the overall set,59,0,FALSE,TRUE,pdf,4,""
2017__thomas_zakrzewski,partial,content_present_stitched,first fragment verbatim; tail paraphrases the modeling target,Multifamily loan models showed strong predictor relationships,Unemployment rate and BBB Corporate Yield...Default Rate (LR) Prediction,72,0.25,FALSE,TRUE,pdf,3,"sition of data shows us the trend, seasonality and reminder of lgd total loan and leases data permission to reprint or distribute any content from this presentation requires the prior written approval of s&p global market intelligence. --- page break --- sample model result - multifamily loans (dr) unemployment rate and bbb corporate yield are chosen to be the independent variables in modeling probability of default independent variables ljung-box test result s&p global market intelligence p-value for ljung-box test result 0.00731 this indicates the possibility of non-zero autocorrelation adverse scenario severely adverse scenario hi"
2019__sandra_rolnicki,near_miss,content_present_stitched,bullets verbatim; two-column interleave inserts code between quoted lines,Sentiment analysis used 8 emotional categories,"• Eight sentiment
categories*
• Sum for
emotional
valence (EV)
* Anger, Anticipation, Disgust, Fear, Joy, Sadness, Surprise, Trust",130,0.5,FALSE,FALSE,pdf,2," • prep for text removepunctuation(text) analysis stripwhitespace(text) 7 --- page break --- analyze library(syuzhet) ## array of 10 • eight sentiment sentiment <- get_nrc_sentiment(text) categories* ## emotional valence ## sum first 8 values • sum for emo.val <- rowsums(sentiment emotional [,1:8]) valence (ev) * anger, anticipation, disgust, fear, joy, sadness, surprise, trust 8 --- page break --- we’re out- performing our results last year by large are consistent margins but we’re with our annual concerned projections. about rates. high ev low ev 9 r/ finance conference --- page break --- build library(portfolio) low.ev.portfolio <"
2009__dirk_eddelbuettel,partial,content_present_stitched,two verbatim fragments stitched with ellipsis,Profiling tools like RProf and RProfmem help identify performance bottlenecks in R code.,Measuring—using profiling tools—is critical... Rprof function for profiling R code.,83,0.2,FALSE,FALSE,pdf,2,"ompiled code overview inline rcpp rinside debugging summary dirk eddelbuettel intro to high-performance r @ r/finance 2009 --- page break --- measure vector ra blas/gpus compile overview rprof rprofmem profiling profiling we need to know where our code spends the time it takes to compute our tasks. measuring—using profiling tools—is critical. r already provides the basic tools for performance analysis. i the system.time function for simple measurements. i the rprof function for profiling r code. i the rprofmem function for profiling r memory usage. in addition, the profr and proftools package on cran can be used to visualize rprof da"
2018__petra_bakosova,unsupported,not_in_extracted_text,SR figures not present in extracted text (likely chart/table page),FOMC pre-announcement drift shows statistically significant Sharpe ratio differences between announcement and non-announcement days.,"SR FOMC 5.60, SR non-FOMC 0.34, r FOMC - r other 0.36%.",55,0,FALSE,TRUE,pdf,2,""
2016__mark_bennett_2,unsupported,content_present_stitched,SQL predicates verbatim; quote condenses the full query,Greenblatt strategy selects stocks with earnings yield ≥10% and operating cashflow yield ≥20%.,SELECT ... WHERE ni/(prcc_f*csho) > .1 AND oancf/(csho*prcc_f) > 0.2,68,0,FALSE,TRUE,pdf,1,""
2018__luis_damiano,partial,content_present_stitched,bullet fragments verbatim; stitched,Feature engineering improves model performance through noise reduction and non-linear capture,• Statistical properties: captures non-linearities... • Noise reduction: by discretization,90,0.33,FALSE,FALSE,pdf,4,"st important factor is the features used. (domingos 2012) what would make features strong? • underlying theory: representative of our beliefs about how markets work (interactions between price and volume) • empirical support: when applied on real data, results are consistent with empirical evidence • statistical properties: captures non-linearities in a simple, parsimonious, and tractable way • noise reduction: by discretization • computational complexity: reduce dataset size r/finance 2018 | chicago, il | 13/49 --- page break --- feature engineering - steps 1 & 2 (1) identify local extrema, where en is the price at the extreme. (2) "
2011__dunand_chatellet,partial,content_present_stitched,both phrases verbatim in interleaved layout; stitched,Hawkes processes capture clustering and mean reversion in high-frequency data,"Irregular spacing of data in time, clustering of orders... Discrete nature of price variations tick data",104,0.29,FALSE,FALSE,pdf,1,"750 800 850 900 instants of jumps f igure 1: conditional intensity --- page break --- introduction model numerical validation real life example conclusion and outlooks some similarities ? 14 hours 4 hours 122.75 122.55 122.65 122.75 price of the asset price of the asset h igh f requency data 122.65 irregular spacing of data in time, clustering 122.55 of orders irregular spacing of earthquakes 30000 50000 70000 25000 35000 45000 time in sec time in sec discrete nature of price variations tick data discrete variations of magnitudes 1 hour 10 minutes 122.72 autocorrelation of assets 122.69 price of the asset price of the asset main shoc"
2025__fred_viole,partial,content_present_stitched,code+output verbatim; quote drops slide line-number junk,Variance equals UPM(2) + LPM(2) scaled by sample size,"var(x) * ((length(x) - 1) / length(x))
[1] 0.8249005
UPM(2, mu_x, x) + LPM(2, mu_x, x)
[1] 0.8249005",100,0.43,FALSE,FALSE,pdf,1,"lpm(degree = 1, target = [1] 0.09040591 --- page break --- variance 1 # sample variance (base r): 2 var(x) [1] 0.8332328 1 # sample variance: 2 mu_x = mean(x) 3 (upm(2, mu_x, x) + lpm(2, mu_x, x)) * (length(x) / (length(x) - 1)) [1] 0.8332328 1 # population adjustment of sample variance (base r): 2 var(x) * ((length(x) - 1) / length(x)) [1] 0.8249005 1 # population variance: 2 upm(2, mu_x, x) + lpm(2, mu_x, x) [1] 0.8249005 1 # variance is also the co-variance of itself: 2 {(co.lpm(degree_lpm = 1, x = x, y = x, target_x = mu_x, target_y = mu_x 3 + co.upm(degree_upm = 1, x, x, mu_x, mu_x) 4 - d.lpm(degree_lpm = 1, degree_upm = 1, x, x"
2017__dries_cornilly,unsupported,content_present_paraphrase,reorders the talk title's own words; paraphrase of present content,Nearest comoment estimation extends factor models to unobserved factors via matrix decomposition.,Factors are unobserved: nearest comoment estimation... (2017b),62,0,FALSE,TRUE,pdf,3,""
2011__haynold,unsupported,content_present_stitched,fragments verbatim but source interleaves annotation text mid-sentence; stitched,Sexps enable type-safe data transfer between R and .NET,Sexp.Make() turns native data into Sexps • Sexps can be indexed in one or two dimensions,88,0,FALSE,FALSE,pdf,4,""
2018__wilmer_pineda,unsupported,content_present_stitched,both statistics verbatim; stitched with ellipsis,Bayesian parameter estimation achieved 68-71% acceptance rates for copula parameters,Acceptation rate 0.6867687... Correlation coefficient: -0.22841,63,0,FALSE,TRUE,pdf,2,""
2013__jeffrey_ryan,near_miss,content_present_stitched,code output verbatim; trailing ellipsis inside the 60-char prefix breaks match,"The greeks package calculates 15+ option sensitivities (delta, gamma, vega, etc.) for both calls and puts.","greeks(42,40,0.1,0.1,0.5,0.2)
List of 2
$ call:List of 15...",60,0.67,FALSE,TRUE,pdf,1,"ary(greeks) jeffrey a. ryan r/finance may 18, 2013 --- page break --- library(greeks) right() strike() expiry() underlying() tte() --- page break --- library(greeks) nextexp() # 2013-06-21 nextexp(n=5) # 2013-10-18 nextexp(min.days=180) # 2013-11-15 full occ calendar 1990 to 2021 --- page break --- greeks(42,40,0.1,0.1,0.5,0.2) list of 2 $ call:list of 15 ..$ value : num 4.76 ..$ delta : num 0.661 ..$ gamma : num 0.0586 ..$ vega : num 10.3 ..$ theta : num -4.38 ..$ rho : num 11.6 ..$ vanna : num -0.477 ..$ charm : num -0.158 ..$ zomma : num -0.26 ..$ speed : num -0.0055 ..$ colour : num -0.0578 ..$ dvegadtime: num -10.5 ..$ vomma : n"
2017__guanhao_feng_2,unsupported,not_in_extracted_text,probability-table values not present in extracted text (table page),Market odds imply probabilities that can be compared to Skellam-distribution forecasts.,Market Prob. (%) 21.93 vs Skellam Prob.(%) 19.50 for score difference 0,71,0,FALSE,TRUE,pdf,3,""
2019__daniel_palomar,unsupported,content_present_paraphrase,formula mangled in text layer; quote reconstructs it + paraphrases,Risk parity equalizes risk contributions across assets.,RCi = 1/N σ(w) (risk parity portfolio attempts to equalize risk contributions),78,0,FALSE,FALSE,pdf,2,""
2015__louis_marascio,near_miss,content_present_stitched,body verbatim (window_frac 0.90); leading quote-mark+ellipsis breaks the prefix test,"Predictive power, not speed, is key to successful trading.",'...the quantitative predictive aspect is the key to success. Just trading fast doesn't make you any money if it is the wrong trade.',133,0.9,FALSE,TRUE,pdf,3," 995 | 996 | 997 | 998 | 999 | 1000 | 1001 | 1002 | 1003 | 1004 | 1005 | 1006 | 1007 | 1008 | 1009 | 1010 | 1011 | 1012 | 1013 | 1014 | --- page break --- you're not fast enough. (but that's ok!) --- page break --- 'there is a mythology that speed is central to success but the reality is that the quantitative predictive aspect is the key to success. just trading fast doesn't make you any money if it is the wrong trade. you need to know when to trade and then execute that order as quickly as you can.' cameron smith president, quantlab financial 'praising the modern markets', automated trader issue 36 spring 2015 http://www.automatedtr"
2017__dave_demers,near_miss,content_present_stitched,near-verbatim; punctuation/quote-mark drift from OCR breaks prefix,Turbulence measures (degrees of freedom) correlate with market instability.,"Turbulence - compare current vector of returns to 'typical'
Degrees of freedom / number of independent drivers",110,0.88,FALSE,TRUE,pdf,2,"hing interesting ► but when crisis occurs (occurred?) we see extreme value ► hft activity ► can we identify presence of more aggressive hft algos? ► can we game them by understanding their patterns of accumulation and distribution? real time detection of toxic trading --- page break --- 'turbulence' - compare current vector of returns to 'typical' degrees of freedom / number of independent drivers statistical process control ideas (cusum, runs tests) can we predict longer horizon vol with high frequency data? (yes) real time detection cross sectional tick data --- page break --- date | turbulence jun 2007 | 0.3 jul 2007 | -0.7 aug 20"
